cnpjCpfFornecedor;formaParticipacao;idFornecedor;itensProposta;nomeFonecedor;representanteCertame;responsavelFornecedor;socios;origem_arquivo
05.568.964/0001-54;INDIVIDUAL; ;itensProposta_982f997b-3e36-4db8-a5d1-dd3c5c797755.csv;SANTA CATARINA CONSULTORES ASSOCIADOS LTDA;;; ;participantes_09f79589-5973-4811-b75d-869230d74a5f.csv
07.376.305/0001-41;INDIVIDUAL; ;itensProposta_0bb0194c-1060-48f1-9ad2-2ad2dfe5104e.csv;SISCON CONSULTORIA E TREINAMENTOS LTDA;;; ;participantes_09f79589-5973-4811-b75d-869230d74a5f.csv
34.207.964/0001-27;INDIVIDUAL; ;itensProposta_3e227ca6-1ef7-448e-9a09-31fb275575ea.csv;VISION ENGENHARIA E CONSULTORIA;;; ;participantes_09f79589-5973-4811-b75d-869230d74a5f.csv
03.384.574/0001-07;INDIVIDUAL; ;itensProposta_bb6725a9-3c3f-482c-a613-f796b9b2588b.csv;DIVIPLAN LTDA;;; ;participantes_139df33a-0110-4f27-82ac-d7d4ac3f7741.csv
07.150.434/0001-17;INDIVIDUAL; ;itensProposta_0177bc39-6445-4aab-b074-10c542058c9e.csv;SINASC SINALIZACAO E CONSTRUCAO DE RODOVIAS LTDA;;; ;participantes_139df33a-0110-4f27-82ac-d7d4ac3f7741.csv
07.456.161/0001-33;INDIVIDUAL; ;itensProposta_56b18d2d-b687-434f-bf73-4dc0abbcb9f3.csv;M 2 M PRODUTOS E SERVICOS LTDA;;; ;participantes_139df33a-0110-4f27-82ac-d7d4ac3f7741.csv
31.287.540/0001-21;INDIVIDUAL; ;itensProposta_44920f51-e436-430e-a0e1-836f9d86ee76.csv;JD ARQUITETURA ESPECIALIZADA EIRELI;;; ;participantes_189a25a0-8e7f-49dc-a448-f53792bf9cc6.csv
31.573.243/0001-42;INDIVIDUAL; ;itensProposta_8bd67d40-7b3d-495b-904c-f1064ab8f070.csv;DILSON MACHADO COELHO ENGENHARIA E ARQUITETURA;;; ;participantes_189a25a0-8e7f-49dc-a448-f53792bf9cc6.csv
13.648.103/0001-04;INDIVIDUAL; ;itensProposta_5fa98ed4-af32-43df-9586-185311fae76a.csv;IBS - ARQUITETURA E CONSERVACAO PREDIAL LTDA;;; ;participantes_189a25a0-8e7f-49dc-a448-f53792bf9cc6.csv
06.354.402/0001-70;INDIVIDUAL; ;itensProposta_529207e3-11a4-4658-b4f6-67c6b5c08884.csv;ASSOCIACAO CRICIUMENSE DE TRANSPORTE URBANO - ACTU;;; ;participantes_20b5a261-5e46-421c-b85a-ff8ef9d10eb5.csv
03.354.241/0001-27;INDIVIDUAL; ;itensProposta_74cf3e5f-1b64-416d-8c0b-59184fc7523b.csv;FUNDACAO DE APOIO A EDUCACAO, PESQUISA E EXTENSAO;;; ;participantes_21739b33-e5c4-4e6e-977d-16d289135b1a.csv
04.310.820/0001-30;INDIVIDUAL; ;itensProposta_cac9e744-beca-4564-b76e-dc100f203c57.csv;H R S - ASSESSORIA LTDA;;; ;participantes_21739b33-e5c4-4e6e-977d-16d289135b1a.csv
23.985.753/0001-07;INDIVIDUAL; ;itensProposta_9b02d552-748f-4f3e-ba31-495090083854.csv;INSTITUTO BRASILEIRO DE APOIO E DESENVOLVIMENTO EX;;; ;participantes_21739b33-e5c4-4e6e-977d-16d289135b1a.csv
34.028.316/0001-03;INDIVIDUAL; ;itensProposta_96955f31-edaf-46bc-ac60-6061be224959.csv;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;;; ;participantes_296e4eeb-fec6-4374-9a01-8d54c24647c4.csv
83.649.830/0001-71;INDIVIDUAL; ;itensProposta_2fd54fbf-a836-4c9c-9d35-305667e75d85.csv;ASSOCIACAO BENEFICENTE DA INDUSTRIA CARBONIFERA DE SANTA CATARINA (SATC);;; ;participantes_33836036-1269-4fa1-92fb-5983e755edf3.csv
02.381.600/0001-72;INDIVIDUAL; ;itensProposta_406e452f-899c-469b-a34a-a3681bf86231.csv;ACO FRIO COM. DE REFRIGERACAO LTDA.;;; ;participantes_3782f475-b7b5-41a9-ad1c-25032069f214.csv
20.648.046/0001-29;INDIVIDUAL; ;itensProposta_3e6c2119-c7e3-454e-956e-49be39aa9b16.csv;NAZARIO TREINAMENTO PROFISSIONAL LTDA;;; ;participantes_3782f475-b7b5-41a9-ad1c-25032069f214.csv
80.487.606/0001-32;INDIVIDUAL; ;itensProposta_991d21ce-1166-49c0-831e-a566f4e369d9.csv;PROFUZZI CONSULTORIA E SISTEMA LTDA;;; ;participantes_396ed9ad-67a3-4f27-886b-f75aa1fbabf1.csv
18.531.102/0001-07;INDIVIDUAL; ;itensProposta_4b9a037f-b6ac-4af5-a962-9f4a8c05bdce.csv;MOBILIBUS DESENVOLVIMENTO E CONSULTORIA DE SISTEMA;;; ;participantes_396ed9ad-67a3-4f27-886b-f75aa1fbabf1.csv
28.201.514/0001-24;INDIVIDUAL; ;itensProposta_9c42d5f0-d773-427c-afc1-7d49bfb8a57a.csv;MEDICAO SERVICOS DE APOIO EIRELI;;; ;participantes_3d63ddd2-56d4-4127-ac2e-ee6419ace354.csv
23.529.844/0001-20;INDIVIDUAL; ;itensProposta_70eebb67-de43-4a66-9fee-d878548b9ffa.csv;PROVIAS ENGENHARIA E CONSULTORIA LTDA;;; ;participantes_4f7156b6-ee6c-4ccc-b020-44ae08582510.csv
13.434.338/0001-01;INDIVIDUAL; ;itensProposta_e17f9f18-b710-44c2-8f60-795422a2a340.csv;MS ENGENHARIA, PROJETOS E CONSULTORIA LTDA;;; ;participantes_4f7156b6-ee6c-4ccc-b020-44ae08582510.csv
20.088.619/0001-07;INDIVIDUAL; ;itensProposta_05b99b19-d665-4fdd-a5a2-82a8ed864c2a.csv;PLANIUS PROJETOS E ASSESSORIA LTDA;;; ;participantes_4f7156b6-ee6c-4ccc-b020-44ae08582510.csv
76.340.132/0001-24;INDIVIDUAL; ;itensProposta_5fc36f84-99fb-4055-84da-7e0089045b2a.csv;ELEVADORES CASTELO LTDA;;; ;participantes_5a6ce1b4-6a70-47fc-8d16-8dad5f6f793b.csv
03.354.241/0001-27;INDIVIDUAL; ;itensProposta_7b325675-2039-48a6-8bff-71ba8e36fa38.csv;FUNDACAO DE APOIO A EDUCACAO, PESQUISA E EXTENSAO;;; ;participantes_620e6533-12c7-4578-b4cc-987db063eb2a.csv
83.661.074/0001-04;INDIVIDUAL; ;itensProposta_1fb9f916-b35e-445f-afc5-619510734fa4.csv;FUNDACAO EDUCACIONAL DE CRICIUMA;;; ;participantes_6feec6eb-c02f-4c6b-9965-bf33f9c48b83.csv
23.529.844/0001-20;INDIVIDUAL; ;itensProposta_45e9897b-e717-46a5-988c-4a22f8279964.csv;PROVIAS ENGENHARIA E CONSULTORIA LTDA;;; ;participantes_7590620b-6dcc-4fcd-b143-13422e14cddc.csv
13.434.338/0001-01;INDIVIDUAL; ;itensProposta_7ae4a4d7-b315-4fb3-97a1-03c79d4d82e5.csv;MS ENGENHARIA, PROJETOS E CONSULTORIA LTDA;;; ;participantes_7590620b-6dcc-4fcd-b143-13422e14cddc.csv
***.032.239-**;INDIVIDUAL; ;itensProposta_6d81251b-62b5-48c8-84e6-7412e3cad4a0.csv;JOSÃ LUIZ RONCONI;;; ;participantes_7590620b-6dcc-4fcd-b143-13422e14cddc.csv
00.200.174/0001-06;INDIVIDUAL; ;itensProposta_06344aa1-1078-42f2-8605-2ba602135262.csv;LOCATIVA EMPREENDIMENTOS IMOBILIÃRIOS LTDA;;; ;participantes_7d919fff-8ace-4c2d-9ff2-74e0dd95a995.csv
78.519.519/0001-78;INDIVIDUAL; ;itensProposta_c96cf57b-5630-4153-b0e8-d8c7ba6485ec.csv;DUDA IMOVEIS LTDA;;; ;participantes_7d919fff-8ace-4c2d-9ff2-74e0dd95a995.csv
***.984.960-**;INDIVIDUAL; ;itensProposta_0dda53cf-6187-40da-8cde-3cc776c17268.csv;AGLACIR FERREIRA MACHADO;;; ;participantes_7d919fff-8ace-4c2d-9ff2-74e0dd95a995.csv
79.394.102/0001-99;INDIVIDUAL; ;itensProposta_33aa4e08-3e80-4315-b4c4-03720558914a.csv;ULLA VESTERGAARD LISBOA & CIA LTDA;;; ;participantes_7f733135-7bf5-4aa1-87a0-5ff62851a6d5.csv
09.222.244/0001-93;INDIVIDUAL; ;itensProposta_affdea62-f2c2-4776-b201-fc82a0a42849.csv;ORTOPEDICA CANADENSE LTDA - ME;;; ;participantes_7f733135-7bf5-4aa1-87a0-5ff62851a6d5.csv
03.005.135/0001-38;INDIVIDUAL; ;itensProposta_59ff29b8-6544-45da-b00e-8ca935652227.csv;ORTOLIFE ORTOPEDIA TECNICA LTDA;;; ;participantes_7f733135-7bf5-4aa1-87a0-5ff62851a6d5.csv
03.774.688/0025-22;INDIVIDUAL; ;itensProposta_453e9546-4a5f-4687-bed7-15f4e3c58b1f.csv;SERVIÃO NACIONAL DE APRENDIZAGEM INDUSTRIAL-SENAI;;; ;participantes_845226a9-b83a-490a-bf8b-677a7dae4b06.csv
23.741.834/0001-53;INDIVIDUAL; ;itensProposta_7d7c4433-3112-4bdd-8206-a85ced61ff4c.csv;ASSOCIACAO NOVA ESCOLA;;; ;participantes_84b242f4-3641-42b6-8626-5830a5089abf.csv
34.028.316/0001-03;INDIVIDUAL; ;itensProposta_83f2b230-af25-403b-b901-ad048384400e.csv;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;;; ;participantes_8cf27127-e33c-4ced-b4bd-1288f02e36a7.csv
31.287.540/0001-21;INDIVIDUAL; ;itensProposta_b1ee952c-4726-48ef-86e8-e10fa1f7e180.csv;JD ARQUITETURA ESPECIALIZADA EIRELI;;; ;participantes_924506f1-adb8-42eb-bb93-917ec52cf2eb.csv
11.402.887/0001-60;INDIVIDUAL; ;itensProposta_e5732ebf-8f17-4507-a876-909741b64d34.csv;INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SANTA CATARINA;;; ;participantes_994edcc7-b919-49d1-bdcd-3d68408d7c55.csv
04.196.147/0001-50;INDIVIDUAL; ;itensProposta_9d4e0294-409f-4382-8b40-b44cc1529f89.csv;INFODIGI INFORMAÃÃES DIGITAIS LTDA EPP;;; ;participantes_9bb8f0ae-e337-4990-b547-34f795af1903.csv
07.125.953/0001-25;INDIVIDUAL; ;itensProposta_131b78bb-773e-4e88-bb7a-04ec93cf68e1.csv;INSTITUTO MAXIMILIANO GAIDZINSKI;;; ;participantes_abcc98cf-a602-449c-a436-749e683ca379.csv
83.661.074/0001-04;INDIVIDUAL; ;itensProposta_d949b924-6e1a-49ab-8c37-a0cd20628a91.csv;FUNDACAO EDUCACIONAL DE CRICIUMA;;; ;participantes_aff0b921-2d1e-46a8-b23c-14d6dd3d0ebd.csv
03.354.241/0001-27;INDIVIDUAL; ;itensProposta_1a6c37f2-8a1d-4749-aaba-b498de23fb08.csv;FUNDACAO DE APOIO A EDUCACAO, PESQUISA E EXTENSAO;;; ;participantes_aff0b921-2d1e-46a8-b23c-14d6dd3d0ebd.csv
03.354.241/0001-27;INDIVIDUAL; ;itensProposta_e69c2b56-141a-4c5a-840d-bc1791717920.csv;FUNDACAO DE APOIO A EDUCACAO, PESQUISA E EXTENSAO;;; ;participantes_bb062c8b-d029-4b9a-88f7-b8fa9a3dcf27.csv
00.200.174/0001-06;INDIVIDUAL; ;itensProposta_a96e932e-dbfa-43d8-9e10-7bb0201e0970.csv;LOCATIVA EMPREENDIMENTOS IMOBILIÃRIOS LTDA;;; ;participantes_bc722918-924f-4c56-8b13-a61eaa17c09f.csv
78.519.519/0001-78;INDIVIDUAL; ;itensProposta_fe19285e-c0f6-4501-8aca-4f9b4ef289de.csv;DUDA IMOVEIS LTDA;;; ;participantes_bc722918-924f-4c56-8b13-a61eaa17c09f.csv
31.680.170/0001-98;INDIVIDUAL; ;itensProposta_d6d3b2bf-4626-4159-b7b1-3c50cdf80183.csv;ANA E FILHOS COMERCIAL ONLINE LTDA;;; ;participantes_bc722918-924f-4c56-8b13-a61eaa17c09f.csv
02.698.965/0001-25;INDIVIDUAL; ;itensProposta_5612a018-e4cc-4bbe-a157-85d0fe6c7f79.csv;FECEL ENGENHARIA E CONSTRUCOES LTDA;;; ;participantes_cc5bc368-6e85-4e01-9ea5-04ce6c2670af.csv
***.846.019-**;INDIVIDUAL; ;itensProposta_e0a1609f-8971-4928-92eb-6be43d0d3e7c.csv;FABRICIO SACHETI;;; ;participantes_cc5bc368-6e85-4e01-9ea5-04ce6c2670af.csv
10.808.646/0001-53;INDIVIDUAL; ;itensProposta_ae10aa35-df63-4961-8b95-a10a115fe79f.csv;3C ENGENHARIA PROJETOS E CONSULTORIA LTDA;;; ;participantes_cc5bc368-6e85-4e01-9ea5-04ce6c2670af.csv
13.434.338/0001-01;INDIVIDUAL; ;itensProposta_862599d9-43c4-4064-a622-a906e8a027a2.csv;MS ENGENHARIA, PROJETOS E CONSULTORIA LTDA;;; ;participantes_cc5bc368-6e85-4e01-9ea5-04ce6c2670af.csv
14.634.442/0001-02;INDIVIDUAL; ;itensProposta_31d3d32f-c5a8-460b-b8fa-b39d6888c103.csv;PIZZOLATO ENGENHARIA LTDA;;; ;participantes_cc5bc368-6e85-4e01-9ea5-04ce6c2670af.csv
03.041.946/0001-94;INDIVIDUAL; ;itensProposta_aab15ef1-c728-4bf2-848f-99514a7db642.csv;SBM CONSTRUCOES LTDA.;;; ;participantes_d8ca478c-af49-4acd-a69e-a9f5afddbfc0.csv
08.842.388/0001-80;INDIVIDUAL; ;itensProposta_20aaea1a-0cb9-4b44-b90a-4559ad4d1681.csv;RIO RAMP DESIGNS LTDA;;; ;participantes_d8ca478c-af49-4acd-a69e-a9f5afddbfc0.csv
15.158.773/0001-78;INDIVIDUAL; ;itensProposta_79994a85-a1ce-47e5-9269-c6cb71d0ebc8.csv;SKATE SPOT - CONSTRUCOES, INCORPORACOES E ARQUITET;;; ;participantes_d8ca478c-af49-4acd-a69e-a9f5afddbfc0.csv
00.200.174/0001-06;INDIVIDUAL; ;itensProposta_f480bc77-2493-4d7a-8af7-bb9dc4f0cabd.csv;LOCATIVA EMPREENDIMENTOS IMOBILIÃRIOS LTDA;;; ;participantes_dcc10366-c0e4-474e-b27a-1607839a000b.csv
78.519.519/0001-78;INDIVIDUAL; ;itensProposta_9f11bbfd-b1fe-483f-85b2-ad2cc5bbd061.csv;DUDA IMOVEIS LTDA;;; ;participantes_dcc10366-c0e4-474e-b27a-1607839a000b.csv
83.248.021/0001-58;INDIVIDUAL; ;itensProposta_554d4d50-49c4-4e34-912d-272e9898352d.csv;GOES EMPREENDIMENTOS IMOBILIARIOS E COBRANCAS DE T;;; ;participantes_dcc10366-c0e4-474e-b27a-1607839a000b.csv
02.698.965/0001-25;INDIVIDUAL; ;itensProposta_d6a3ace4-4433-4c89-b5d2-053fee546491.csv;FECEL ENGENHARIA E CONSTRUCOES LTDA;;; ;participantes_ee792b82-606d-4f6d-b16d-3f7b9f42519c.csv
83.845.966/0001-57;INDIVIDUAL; ;itensProposta_4f42916d-1a6f-4891-9c90-4f79401d3b33.csv;ENGENHARIA CASTANHEL LTDA;;; ;participantes_ee792b82-606d-4f6d-b16d-3f7b9f42519c.csv
17.896.535/0001-95;INDIVIDUAL; ;itensProposta_e1ad3538-2303-473a-af90-a366c3b17486.csv;CONSTRUCITY CONSTRUCOES E REFORMAS EIRELI;;; ;participantes_ee792b82-606d-4f6d-b16d-3f7b9f42519c.csv
07.624.012/0001-36;INDIVIDUAL; ;itensProposta_190c6bec-f0e7-4330-b3a1-e6468423071d.csv;MOTTA MARTINS ENGENHARIA LTDA;;; ;participantes_fb763d90-4bca-42e7-b163-c2ea06a90b7d.csv
09.377.564/0001-12;INDIVIDUAL; ;itensProposta_af9a4cef-b807-4f62-9c45-c9a2d227de89.csv;AMPLA ASSESSORIA E PLANEJAMENTO LTDA;;; ;participantes_fb763d90-4bca-42e7-b163-c2ea06a90b7d.csv
13.475.225/0001-46;INDIVIDUAL; ;itensProposta_aaeebf7d-1df3-4cb7-8419-7751a656ca8d.csv;SANEVILLE ENGENHARIA E CONSULTORIA LTDA;;; ;participantes_fb763d90-4bca-42e7-b163-c2ea06a90b7d.csv
